question,groundtruth,chatbot_response,similar_questions,accuracy
Quảng trường La Mã được thiết kế theo kiến trúc gì?,La Mã cổ đại,Quảng trường La Mã được thiết kế theo kiến trúc La Mã cổ đại.,"['Quảng trường La Mã được thiết kế theo kiến trúc nào?', 'Kiến trúc của quảng trường La Mã là gì?', 'Quảng trường La Mã được thiết kế theo phong cách nào?']",1
Cây hồng được sử dụng để tô điểm các bồn hoa ở quảng trường La Mã?,Có,Các bồn hoa ở quảng trường La Mã được tô điểm bởi các loại cây hồng cho hoa thường xuyên.,"['Quảng trường La Mã ở đâu?', 'Quảng trường La Mã có thiết kế như thế nào?', 'Quảng trường La Mã có sức chứa bao nhiêu người?']",1
Các loại cây nào được trồng bao quanh quảng trường La Mã?,"Hàng tùng bách bách tán, trắc bá diệp",Hàng tùng bách bách tán và trắc bá diệp được trồng bao quanh Quảng Trường La Mã.,"['Quảng trường La Mã được thiết kế theo kiến trúc nào?', 'Quảng trường La Mã có sức chứa bao nhiêu người?', 'Các loại cây nào được trồng tại Đầm Sen?']",1
Quảng trường La Mã có thể tổ chức sự kiện lớn với sức chứa bao nhiêu người?,Cả ngàn người,"Cảnh quan của quảng trường La Mã được thiết kế chủ đạo theo kiến trúc La Mã cổ đại. Các bồn hoa được tô điểm bởi các loại cây hồng cho hoa thường xuyên. Song song với các bồn hoa là hàng tùng bách bách tán, trắc bá diệp được trồng bao quanh Quảng Trường La Mã. Cũng giống như Quảng trường Âu Lạc, đây không chỉ là địa điểm tham quan tại Đầm Sen, mà còn là địa điểm tổ chức sự kiện lớn với sức chứa cả ngàn người tham dự.","['Quảng trường La Mã được thiết kế theo kiến trúc nào?', 'Các loại cây gì được trồng ở Quảng trường La Mã?', 'Quảng trường La Mã có thể tổ chức sự kiện như thế nào?']",1
Hổ Đông Dương sống trong môi trường tự nhiên nào?,Rừng lá rộng ẩm nhiệt đới và cận nhiệt đới,Hổ Đông Dương sống trong môi trường tự nhiên của rừng nhiệt đới ẩm ướt và rừng ngập mặn.,"['Hổ Đông Dương sống ở đâu?', 'Hổ Đông Dương sống trong môi trường nào?', 'Hổ Đông Dương sống trong môi trường tự nhiên nào?']",0
Hổ Đông Dương đã giảm bao nhiêu trong một thập kỷ qua?,Hơn 70%,Không có thông tin về việc giảm Hổ Đông Dương trong một thập kỷ qua.,"['Hổ Đông Dương có giảm trong thời gian gần đây không?', 'Có thông tin gì về tình trạng Hổ Đông Dương hiện nay?', 'Hổ Đông Dương có đang bị đe dọa tuyệt chủng không?']",0
Có bao nhiêu quốc gia là ngôi nhà chung cho Hổ Đông Dương cuối cùng?,Sáu,Not relevant,"['Nhà hát Thành Phố Hồ Chí Minh có bao nhiêu sức chứa?', 'Khi nào Nhà hát Thành Phố Hồ Chí Minh được công nhận là di tích quốc gia?', 'Nhà hát Thành Phố Hồ Chí Minh là điểm đến du lịch nổi tiếng ở đâu?']",0
Thảo Cầm Viên Sài Gòn đã nhân giống Hổ Đông Dương thành công vào năm nào?,Năm 2014,Thảo Cầm Viên Sài Gòn đã nhân giống Hổ Đông Dương thành công vào năm 2009.,"['Thảo Cầm Viên Sài Gòn có nhân giống thành công loài nào khác?', 'Thảo Cầm Viên Sài Gòn có bao nhiêu loài động vật?', 'Thảo Cầm Viên Sài Gòn có diện tích bao nhiêu?']",0
Đu quay đứng còn được gọi là gì?,Đu quay lồng,Đu quay đứng còn được gọi là Ferris Wheel.,"['Có bao nhiêu cabin lồng trên đu quay đứng?', 'Đu quay đứng có bao nhiêu điểm dừng chân?', 'Ai là người đầu tiên đặt tên cho đu quay đứng?']",0
Công ty nào đã đầu tư trò chơi đu quay đứng tại Công viên Văn hóa Đầm Sen?,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ (Phuthotourist),Công ty đã đầu tư trò chơi đu quay đứng tại Công viên Văn hóa Đầm Sen là Công ty TNHH MTV Công viên Đầm Sen.,"['Ai đã đầu tư trò chơi đu quay đứng tại Công viên Văn hóa Đầm Sen?', 'Công ty nào đã đầu tư trò chơi đu quay đứng ở Đầm Sen?', 'Trò chơi đu quay đứng tại Công viên Văn hóa Đầm Sen do ai đầu tư?']",1
Đu quay đứng có bao nhiêu cabin lồng chở khách?,Nhiều,Đu quay đứng có nhiều cabin lồng chở khách.,"['Đu quay đứng có bao nhiêu cabin?', 'Có bao nhiêu cabin lồng chở khách trên đu quay đứng?', 'Số lượng cabin lồng chở khách trên đu quay đứng là bao nhiêu?']",1
Chiếc đu quay Ferris Wheel có góc quay như thế nào?,Bất kỳ góc quay nào,"Chiếc đu quay Ferris Wheel có góc quay bất kỳ, nhưng những chiếc lồng chở khách vẫn giữ nguyên phương thẳng đứng.","['Đu quay Ferris Wheel quay với tốc độ bao nhiêu?', 'Chiếc đu quay Ferris Wheel có an toàn không?', 'Độ cao của đu quay Ferris Wheel là bao nhiêu?']",1
Tốc độ quay của đu quay đứng là như thế nào?,Chậm,"Tốc độ quay của đu quay đứng khá chậm, cho phép du khách thong thả ngắm cảnh thành phố từ trên độ cao 40m.","['Đu quay đứng có an toàn không?', 'Đu quay đứng có bao nhiêu cabin?', 'Công ty nào đầu tư đu quay đứng tại Công viên Văn hóa Đầm Sen?']",1
Du khách có thể ngắm cảnh thành phố từ trên đu quay đứng ở độ cao bao nhiêu?,40m,Du khách có thể ngắm cảnh thành phố từ trên đu quay đứng ở độ cao 461m từ đỉnh tòa tháp Landmark 81.,"['Từ độ cao nào du khách có thể ngắm cảnh thành phố từ trên đu quay đứng ở Landmark 81?', 'Độ cao tối đa mà du khách có thể ngắm cảnh thành phố từ trên đu quay đứng ở Landmark 81 là bao nhiêu?', 'Landmark 81 có đu quay đứng để ngắm cảnh thành phố không?']",0
Cầu Cửu Khúc nằm ở đâu?,Bến Thuyền 1,Cầu Cửu Khúc nằm trên hồ Đầm Sen.,"['Cầu Cửu Khúc nối liền hai bờ nào?', 'Cầu Cửu Khúc là cây cầu dây văng hay cây cầu bắc qua sông?', 'Cầu Cửu Khúc có những điểm dừng chân nào?']",0
An Dương Vương là vị vua lập nên nước Âu Lạc hay là nhà nước thứ hai trong lịch sử Việt Nam sau nhà nước Văn Lang của các vua Hùng?,An Dương Vương là vị vua lập nên nước Âu Lạc,An Dương Vương là vị vua lập nên nước Âu Lạc - Nhà nước thứ hai trong lịch sử Việt Nam sau nhà nước Văn Lang của các vua Hùng.,"['Ai là vị vua lập nên nước Âu Lạc?', 'Nước Âu Lạc là nhà nước thứ mấy trong lịch sử Việt Nam?', 'Ai là vị vua lập nên nhà nước Văn Lang?']",1
Ngã sáu là nơi giao nhau của bao nhiêu đường lớn?,Ba đường lớn,Ngã sáu là nơi giao nhau của sáu đường lớn.,"['Có những đường nào giao nhau tại Ngã sáu Phù Đổng?', 'Ngã sáu Phù Đổng là nơi giao nhau của bao nhiêu con đường?', 'Có những tuyến đường nào gặp nhau tại Ngã sáu Sài Gòn?']",0
"Ba đường lớn giao nhau tại ngã sáu là Nguyễn Tri Phương, Ngô Gia Tự và Nguyễn Chí Thanh?",Đúng,Not relevant,"['Có bao nhiêu con đường giao nhau tại ngã sáu Phù Đổng?', 'Ngã sáu Phù Đổng có tượng Thánh Gióng không?', 'Ngã sáu Phù Đổng nằm ở quận nào?']",0
Ngã sáu nằm ở đâu?,Ngã sáu nằm ở ranh giới Quận 5 với Quận 10,"Ngã sáu nằm ở phường Bến Thành, Quận 1.","['Ngã sáu Phù Đổng nằm ở đâu?', 'Ngã sáu Sài Gòn nằm ở đâu?', 'Ngã sáu nằm ở quận nào?']",0
Ngã sáu còn có tên cũ là gì?,Ngã sáu còn có tên cũ là Ngã sáu Minh Mạng,Ngã sáu còn có tên cũ là Ngã sáu Minh Mạng.,"['Ngã sáu Minh Mạng nằm ở đâu?', 'Ai là người lập nên nước Âu Lạc?', 'Ai là vị vua thứ hai trong lịch sử Việt Nam?']",1
"Trước năm 1975, đường Ngô Gia Tự có tên là gì?","Trước năm 1975, đường Ngô Gia Tự có tên là đường Minh Mạng","Trước năm 1975, đường Ngô Gia Tự có tên là đường Minh Mạng.","['Đường Ngô Gia Tự trước năm 1975 có tên là gì?', 'Tên cũ của đường Ngô Gia Tự trước năm 1975 là gì?', 'Trước năm 1975, đường Minh Mạng có tên mới là gì?']",1
Cột giữa ngã sáu có kiểu cột gì?,Cột giữa ngã sáu có kiểu cột Corinth,Cột giữa ngã sáu có kiểu cột tín hiệu.,"['Cột giữa ngã sáu có chức năng gì?', 'Cột giữa ngã sáu có từ thời nào?', 'Cột giữa ngã sáu có ý nghĩa gì?']",0
Trên đỉnh cột có bức tượng của ai?,Trên đỉnh cột có bức tượng của An Dương Vương,Trên đỉnh cột có bức tượng của Trần Hưng Đạo.,"['Ai là người được tôn vinh trên đỉnh cột?', 'Tượng đài Trần Hưng Đạo được đặt ở đâu?', 'Bức tượng trên đỉnh cột là ai?']",0
Ai thực hiện công trình tại ngã sáu?,Công trình được thực hiện bởi Binh chủng Công binh Việt Nam Cộng hòa,"Công ty Gao Ge - Trung Quốc thiết kế, Công ty Cổ phần Tư vấn Thiết kế Công trình Quỹ Đạo triển khai chi tiết và Công ty Sino-Pacific thi công, hoàn thành và đưa vào hoạt động khoảng cuối năm 2010.","['Ai đã thiết kế Cầu Ánh Sao?', 'Công ty nào đã triển khai chi tiết thiết kế Cầu Ánh Sao?', 'Công ty nào đã thi công và hoàn thành Cầu Ánh Sao?']",1
Lực lượng nào xem An Dương Vương là 'thánh tổ'?,Lực lượng Binh chủng Công binh Việt Nam Cộng hòa xem An Dương Vương là 'thánh tổ',Lực lượng Binh chủng Công binh Việt Nam Cộng hòa,"[""Ai xem An Dương Vương là 'thánh tổ'?"", 'Ai thực hiện công trình tượng An Dương Vương?', 'An Dương Vương là vị vua nào?']",1
Hồ Con Rùa nằm ở đâu?,"Hồ Con Rùa nằm ở trung tâm Thành phố Hồ Chí Minh, địa chỉ là 08 Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, TP.HCM.","Hồ Con Rùa nằm ở trung tâm Thành phố Hồ Chí Minh, có tên chính thức là Công trường Quốc tế.","['Hồ Con Rùa có tên chính thức là gì?', 'Hồ Con Rùa nằm ở thành phố nào?', 'Hồ Con Rùa có những tuyến đường nào giao nhau?']",1
Hồ Con Rùa có tên chính thức là gì?,Hồ Con Rùa có tên chính thức là Công trường Quốc tế.,Hồ Con Rùa có tên chính thức là Công trường Quốc tế.,"['Hồ Con Rùa nằm ở đâu?', 'Hồ Con Rùa được trùng tu và chỉnh trang vào thời gian nào?', 'Tại sao Hồ Con Rùa có tên gọi như vậy?']",1
Hồ Con Rùa nằm ở nút giao của những tuyến đường nào?,"Hồ Con Rùa nằm ở nút giao của các tuyến đường Phạm Ngọc Thạch, Trần Cao Vân và Võ Văn Tần.","Hồ Con Rùa nằm ở nút giao của các tuyến đường Phạm Ngọc Thạch, Trần Cao Vân và Võ Văn Tần.","['Hồ Con Rùa nằm ở đâu?', 'Hồ Con Rùa có tên chính thức là gì?', 'Có những gì xung quanh Hồ Con Rùa?']",1
Khu vực xung quanh Hồ Con Rùa có gì?,"Khu vực xung quanh Hồ Con Rùa tập trung rất nhiều nhà hàng, quán bar, cà phê.","Khu vực xung quanh Hồ Con Rùa tập trung rất nhiều nhà hàng, quán bar và cà phê. Nên khu vực này luôn nhộn nhịp từ sáng đến khuya.","['Có nhà hàng nào xung quanh Hồ Con Rùa không?', 'Có quán bar nào gần Hồ Con Rùa không?', 'Có cà phê nào ở gần Hồ Con Rùa không?']",1
Hồ Con Rùa được trùng tu và chỉnh trang trong thời gian nào?,Hồ Con Rùa được trùng tu và chỉnh trang trong những năm 1970 đến 1974.,Trong những năm 1970 đến 1974,"['Hồ Con Rùa được trùng tu và chỉnh trang trong khoảng thời gian nào?', 'Khi nào Hồ Con Rùa được trùng tu và chỉnh trang?', 'Trùng tu và chỉnh trang Hồ Con Rùa diễn ra vào thời gian nào?']",1
Hồ Con Rùa có bao nhiêu cột bê tông cao?,Hồ Con Rùa có 5 cột bê tông cao.,Hồ Con Rùa có 5 cột bê tông cao.,"['Hồ Con Rùa nằm ở đâu?', 'Hồ Con Rùa được trùng tu vào thời gian nào?', 'Có những gì xung quanh Hồ Con Rùa?']",1
Cột bê tông cao có hình dạng như thế nào?,Cột bê tông cao có dạng năm bàn tay xòe ra giống như các cánh hoa đón đỡ một nhụy hoa.,Cột bê tông cao có dạng năm bàn tay xòe ra giống như các cánh hoa đón đỡ một nhụy hoa.,"['Cột bê tông cao có hình dạng như thế nào?', 'Cột bê tông cao ở Hồ Con Rùa có hình dạng gì?', 'Cột bê tông cao ở Công trường Quốc tế có hình dạng như thế nào?']",1
Hồ Con Rùa có công trình nào khác ngoài hồ?,Hồ Con Rùa có một vòng xoay giao thông được trang trí bởi cây xanh và hồ phun nước hình bát giác lớn với 4 đường đi bộ xoắn ốc đồng hướng đến khu vực trung tâm và hình tượng con rùa bằng hợp kim đội trên lưng bia đá lớn.,"Trong những năm 1970 đến 1974, Hồ Con Rùa được trùng tu và chỉnh trang, dựng thêm và điều chỉnh 5 cột bê tông cao có dạng năm bàn tay xòe ra giống như các cánh hoa đón đỡ một nhụy hoa.","['Hồ Con Rùa có nhà hàng, quán bar, cà phê xung quanh không?', 'Hồ Con Rùa nằm ở đâu?', 'Hồ Con Rùa có tên chính thức là gì?']",0
Hồ Con Rùa được đặt tên gọi dân gian là gì?,Hồ Con Rùa được đặt tên gọi dân gian là Hồ Con Rùa.,Hồ Con Rùa được đặt tên gọi dân gian là Hồ Con Rùa.,"['Hồ Con Rùa có tên gọi dân gian là gì?', 'Người dân gọi Hồ Con Rùa bằng cái tên gì?', 'Có tên gọi dân gian nào khác cho Hồ Con Rùa không?']",1
Tại sao Hồ Con Rùa được đặt tên là Hồ Con Rùa?,Hồ Con Rùa được đặt tên là Hồ Con Rùa vì trên lưng bia đá lớn có hình tượng con rùa.,Hồ Con Rùa được đặt tên là Hồ Con Rùa do có một tượng con rùa được đặt trên lưng bia đá lớn ở giao lộ này. Tượng con rùa đỡ trên lưng bia đá lớn có các dòng chữ ghi công những người đã hy sinh cho chế độ Việt Nam Cộng Hòa và tri ân các Quốc gia đã viện trợ.,"['Tại sao Hồ Con Rùa lại có tượng con rùa?', 'Hồ Con Rùa được đặt tên như thế nào?', 'Tại sao người ta gọi Hồ Con Rùa là Hồ Con Rùa?']",1
Hồ Con Rùa từng bị phá hủy trong một vụ nổ vào năm nào?,Hồ Con Rùa từng bị phá hủy trong một vụ nổ vào đầu năm 1976.,Hồ Con Rùa không từng bị phá hủy trong một vụ nổ.,"['Hồ Con Rùa có tên chính thức là gì?', 'Hồ Con Rùa nằm ở đâu?', 'Hồ Con Rùa được trùng tu và chỉnh trang vào thời gian nào?']",0
"Tấm bia và con rùa bị phá hủy trong vụ nổ, nhưng người dân vẫn gọi khu vực đó là gì?",Người dân vẫn gọi khu vực đó là Hồ Con Rùa.,Hồ Con Rùa,"['Tại sao tấm bia và con rùa bị phá hủy?', 'Khi nào khu vực này được đổi tên thành Công trường Quốc tế?', 'Công trình này được trang trí như thế nào?']",1
Phố đi bộ Bùi Viện được chỉnh trang như thế nào?,"Phố đi bộ Bùi Viện được chỉnh trang đồng bộ vỉa hè, lát mới đá granite trên tuyến đường dài 1.400 m",Phố đi bộ Bùi Viện đã được chỉnh trang đồng bộ vỉa hè và lát mới đá granite trên tuyến đường dài 1.400m. Tổng mức đầu tư cho công trình này là gần 10 tỷ đồng.,"['Phố đi bộ Bùi Viện có gì đặc biệt?', 'Ai là người lãnh đạo cách mạng xã hội chủ nghĩa ở miền Bắc?', 'Chợ Bến Thành có gì đặc biệt?']",1
"Khi khai trương, Phố đi bộ Bùi Viện đã đầu tư bao nhiêu tỷ đồng?",Phố đi bộ Bùi Viện đã đầu tư gần 10 tỷ đồng,Gần 10 tỷ đồng,"['Phố đi bộ Bùi Viện đã đầu tư bao nhiêu tiền?', 'Số tiền đầu tư cho Phố đi bộ Bùi Viện là bao nhiêu?', 'Tổng mức đầu tư cho Phố đi bộ Bùi Viện là bao nhiêu?']",0
Các phương tiện giao thông sẽ ngưng lưu thông trên đường Bùi Viện trong thời gian nào?,Các phương tiện giao thông sẽ ngưng lưu thông trên đường Bùi Viện trong thời gian khai trương,Các phương tiện giao thông sẽ ngưng lưu thông trên đường Bùi Viện trong thời gian khai trương vào ngày 20 tháng 8 năm 2017.,"['Đường Bùi Viện sẽ ngưng lưu thông trong thời gian nào?', 'Khi nào đường Bùi Viện sẽ không cho phương tiện giao thông lưu thông?', 'Ngày nào đường Bùi Viện sẽ khai trương?']",1
Các cơ sở kinh doanh tại phố Bùi Viện được phép bày bán ở đâu?,Các cơ sở kinh doanh tại phố Bùi Viện chỉ được phép bày bán trên toàn bộ phần vỉa hè,"Các cơ sở kinh doanh tại phố Bùi Viện được phép bày bán trên các cửa hàng, quán ăn, quán nhậu, cửa hàng hớt tóc gội đầu, giặt ủi, siêu thị mini và các cơ sở lưu trú như nhà nghỉ, nhà trọ, khách sạn.","['Các loại hàng quán có ở phố Bùi Viện là gì?', 'Có những cửa hàng gì ở phố Bùi Viện?', 'Phố Bùi Viện có những dịch vụ gì cho du khách?']",1
Phố Bùi Viện còn được gọi là gì?,Phố Bùi Viện còn được gọi là phố Tây hoặc Khao Sản Sài Gòn,Phố Bùi Viện còn được gọi là phố Tây.,"['Bên cạnh Phố Bùi Viện, còn có những địa điểm nào khác ở Sài Gòn?', 'Phố Bùi Viện có những loại hình dịch vụ gì?', 'Phố Bùi Viện nổi tiếng với những gì?']",1
"Ở Bùi Viện, có những loại hàng quán nào?","Ở Bùi Viện có vô vàn các loại hàng quán, đủ để phục vụ tất cả các nhu cầu của khách du lịch","Ở Bùi Viện có vô vàn các loại hàng quán, đủ để phục vụ tất cả các nhu cầu của khách du lịch. Về thức ăn, nước giải khát, sẽ có đủ thứ từ bình dân đến cao cấp cho bạn chọn. Ngoài ra, còn có các cửa hàng hớt tóc gội đầu, giặt ủi và siêu thị mini mở cả ngày lẫn đêm.","['Có những loại hàng quán nào ở Bùi Viện?', 'Bùi Viện có những quán ăn nào?', 'Có những dịch vụ gì ở Bùi Viện?']",1
"Ở Bùi Viện, du khách có thể khám phá những gì?","Ở Bùi Viện, du khách có thể khám phá các nét đặc thù bên trong các hẻm nhỏ đan xen trên tuyến đường","Ở Bùi Viện, du khách có thể khám phá các loại hình dịch vụ như ăn uống, vui chơi, giải trí, làm đẹp, nghỉ ngơi. Có rất nhiều quán bar, pub, bia vỉa hè và đồ ăn ngon trên đường phố. Ngoài ra, còn có các cửa hàng hớt tóc gội đầu, giặt ủi, siêu thị mini và các cơ sở lưu trú như nhà nghỉ, nhà trọ, khách sạn.","['Có gì để làm ở Bùi Viện?', 'Bùi Viện có những dịch vụ gì?', 'Bùi Viện có những quán ăn nổi tiếng nào?']",1
Phòng trưng bày Chủ tịch Hồ Chí Minh trưng bày những gì?,"Phòng trưng bày Chủ tịch Hồ Chí Minh trưng bày 165 hình ảnh, tài liệu, hiện vật","Phòng trưng bày Chủ tịch Hồ Chí Minh trưng bày 120 hình ảnh, tư liệu, hiện vật về cuộc đời và sự nghiệp của Chủ tịch Hồ Chí Minh.","['Bảo tàng Chủ tịch Hồ Chí Minh trưng bày những gì?', 'Có bao nhiêu hiện vật được trưng bày tại phòng trưng bày Chủ tịch Hồ Chí Minh?', 'Nội dung trưng bày tại phòng trưng bày Chủ tịch Hồ Chí Minh là gì?']",1
Chợ Bến Thành nằm ở đâu?,Chợ Bến Thành nằm ở miền Bắc,"Chợ Bến Thành nằm ở đường Lê Lợi, P. Bến Thành, Quận 1, Thành phố Hồ Chí Minh.","['Chợ Bến Thành có bao nhiêu cửa?', 'Chợ Bến Thành hoạt động vào thời gian nào?', 'Chợ Bến Thành là biểu tượng của thành phố nào?']",1
Chợ Bình Tây thu hút bao nhiêu lượt khách du lịch người nước ngoài hàng năm?,Trên 120.000 lượt khách du lịch người nước ngoài,Hàng năm chợ Bình Tây thu hút trên 120.000 lượt khách du lịch người nước ngoài đến tham quan và mua sắm.,"['Chợ Bình Tây có bao nhiêu lượt khách du lịch người nước ngoài hàng năm?', 'Số lượng khách du lịch người nước ngoài đến chợ Bình Tây hàng năm là bao nhiêu?', 'Mỗi năm có bao nhiêu du khách nước ngoài đến tham quan chợ Bình Tây?']",1
Chợ Bình Tây có lịch sử và kiến trúc nào?,Chợ Bình Tây có lịch sử và kiến trúc cổ xưa của Trung Quốc,"Chợ Bình Tây có lịch sử hình thành từ năm 1928 do một thương gia người Hoa đầu tư xây dựng. Khu chợ có kiến trúc kết hợp Á-Âu, với 12 cổng ra vào được thiết kế theo lối kiến trúc độc đáo. Chợ Bình Tây đã tồn tại và phát triển trong gần 100 năm, trở thành một trong những chợ đầu mối lớn của thành phố với hàng ngàn quầy sạp buôn bán hàng hoá đa dạng.","['Chợ Bình Tây có bao nhiêu năm lịch sử?', 'Ai là người đầu tư xây dựng Chợ Bình Tây?', 'Kiến trúc của Chợ Bình Tây có đặc điểm gì?']",1
Chính quyền Thành phố tiếp nhận quản lý chợ Bình Tây vào năm nào?,Chính quyền Thành phố tiếp nhận quản lý chợ Bình Tây vào năm 1975,Năm 1975,"['Chính quyền Thành phố tiếp nhận quản lý chợ Bình Tây vào năm bao nhiêu?', 'Chợ Bình Tây được chính quyền Thành phố tiếp nhận quản lý vào năm nào?', 'Năm nào chính quyền Thành phố tiếp nhận quản lý chợ Bình Tây?']",1
Chợ Bình Tây có bao nhiêu quầy sạp?,Chợ Bình Tây có 2.358 quầy sạp,Chợ Bình Tây có tổng cộng 2.358 quầy sạp.,"['Chợ Bình Tây có bao nhiêu sạp buôn bán?', 'Kích thước của Chợ Bình Tây là bao nhiêu?', 'Chợ Bình Tây có bao nhiêu tầng?']",1
Tỉ lệ người Hoa chiếm số lượng hộ kinh doanh tại chợ Bình Tây là bao nhiêu?,Tỉ lệ người Hoa chiếm 25% số lượng hộ kinh doanh tại chợ Bình Tây,Tỉ lệ người Hoa chiếm tỷ lệ 25% số lượng hộ kinh doanh tại chợ Bình Tây.,"['Chợ Bình Tây có bao nhiêu sạp?', 'Chợ Bình Tây được xây dựng vào năm nào?', 'Chợ Bình Tây mở cửa vào lúc nào?']",1
Bản đồ nào được vẽ bằng sơn dầu trên tường?,Bản đồ Sài Gòn và vùng phụ cận năm 1892 và bản đồ Nam kỳ vào thời kỳ mới xây dựng tòa nhà năm 1936.,Cả hai bản đồ Sài Gòn và vùng phụ cận năm 1892 và Nam kỳ vào thời kỳ mới xây dựng tòa nhà năm 1936 được vẽ bằng sơn dầu trên tường.,"['Bản đồ nào được vẽ bằng sơn dầu trên tường?', 'Có bản đồ nào được vẽ bằng sơn dầu trong Bưu điện Thành phố Hồ Chí Minh không?', 'Bản đồ nào được vẽ trên tường ở Bưu điện Thành phố Hồ Chí Minh?']",0
Bưu điện Thành phố Hồ Chí Minh được xây dựng vào thời gian nào?,Cuối thế kỷ 19.,Bưu điện Thành phố Hồ Chí Minh được xây dựng vào cuối thế kỷ 19.,"['Bưu điện Thành phố Hồ Chí Minh được xây dựng vào năm nào?', 'Bưu điện Thành phố Hồ Chí Minh xây dựng vào thời điểm nào?', 'Bưu điện Thành phố Hồ Chí Minh được xây dựng vào thế kỷ mấy?']",1
Công trình kiến trúc Bưu điện Thành phố Hồ Chí Minh được xây dựng theo phong cách kiến trúc nào?,Phong cách kiến trúc cổ điển châu Âu.,Bưu điện Thành phố Hồ Chí Minh được xây dựng theo phong cách kiến trúc cổ điển châu Âu.,"['Bưu điện Thành phố Hồ Chí Minh được xây dựng vào thời điểm nào?', 'Công trình kiến trúc Bưu điện Thành phố Hồ Chí Minh có tuổi thọ bao nhiêu?', 'Công tác giữ gìn bảo quản Bưu điện Thành phố Hồ Chí Minh được thực hiện như thế nào?']",1
Vật liệu nào được sử dụng trong xây dựng Bưu điện Thành phố Hồ Chí Minh?,"Vòm mái, cột thép, lam thép của hãng Eiffel.","Vật liệu được sử dụng trong xây dựng Bưu điện Thành phố Hồ Chí Minh bao gồm vòm mái, cột thép, lam thép và các vật liệu khác của hãng Eiffel.","['Bưu điện Thành phố Hồ Chí Minh được xây dựng vào năm nào?', 'Bưu điện Thành phố Hồ Chí Minh có diện tích bao nhiêu?', 'Bưu điện Thành phố Hồ Chí Minh có phong cách kiến trúc nào?']",0
Bảo tồn và duy tu công tác của Bưu điện Thành phố Hồ Chí Minh được thực hiện như thế nào?,Thường xuyên và không làm thay đổi nguyên trạng kiến trúc.,"Công tác giữ gìn bảo quản, duy tu của Bưu điện Thành phố Hồ Chí Minh được thực hiện thường xuyên, không làm thay đổi nguyên trạng kiến trúc nhằm bảo tồn và phát huy sự hấp dẫn của khối kiến trúc cổ tiêu biểu cho nghệ thuật kiến trúc cuối thế kỷ 19 của Thành phố và của quốc gia.","['Bưu điện Thành phố Hồ Chí Minh được xây dựng vào năm nào?', 'Bưu điện Thành phố Hồ Chí Minh có diện tích bao nhiêu?', 'Bưu điện Thành phố Hồ Chí Minh có phong cách kiến trúc như thế nào?']",1
Tuổi thọ của Bưu điện Thành phố Hồ Chí Minh là bao nhiêu?,Hơn trăm năm.,Không có thông tin về tuổi thọ của Bưu điện Thành phố Hồ Chí Minh trong đoạn văn trên.,"['Bưu điện Thành phố Hồ Chí Minh được xây dựng vào năm nào?', 'Diện tích của Bưu điện Thành phố Hồ Chí Minh là bao nhiêu?', 'Bưu điện Thành phố Hồ Chí Minh có những dịch vụ gì?']",0
"Bưu điện Thành phố Hồ Chí Minh giữ được tầm vóc của một công trình kiến trúc, văn hóa nghệ thuật tráng lệ độc đáo từ thời kỳ nào?",Thế kỷ 19.,từ thời kỳ cuối thế kỷ 19,"['Bưu điện Thành phố Hồ Chí Minh được xây dựng vào thời kỳ nào?', 'Bưu điện Thành phố Hồ Chí Minh giữ được tầm vóc của một công trình kiến trúc từ thời kỳ nào?', 'Bưu điện Thành phố Hồ Chí Minh có tuổi đời bao nhiêu?']",1
Hầm chứa vũ khí bí mật nằm ở đâu?,"287/70-72-74 Nguyễn Đình Chiểu, Quận 3, TP.HCM","Hầm chứa vũ khí bí mật nằm ở địa chỉ 287/70-72-74 Nguyễn Đình Chiểu, Quận 3, TP.HCM.","['Hầm chứa vũ khí bí mật ở thành phố Hồ Chí Minh nằm ở đâu?', 'Địa chỉ hầm chứa vũ khí bí mật ở Sài Gòn là gì?', 'Hầm chứa vũ khí bí mật của Biệt động Sài Gòn nằm ở đâu?']",1
Hầm chứa vũ khí phục vụ cho cuộc tấn công Dinh Độc Lập năm 1975 cất giữ bao nhiêu tấn vũ khí?,Hơn 3 tấn,Hầm chứa vũ khí phục vụ cho cuộc tấn công Dinh Độc Lập năm 1975 đã cất giữ hơn 3 tấn vũ khí.,"['Hầm chứa vũ khí phục vụ cho cuộc tấn công Dinh Độc Lập năm 1975 nằm ở đâu?', 'Hầm chứa vũ khí phục vụ cho cuộc tấn công Dinh Độc Lập năm 1975 có bao nhiêu hầm?', 'Hầm chứa vũ khí phục vụ cho cuộc tấn công Dinh Độc Lập năm 1975 có bao nhiêu vũ khí?']",1
Bảo tàng Thành phố Hồ Chí Minh được xây dựng vào năm nào?,1885,Bảo tàng Thành phố Hồ Chí Minh được xây dựng vào năm 1885.,"['Bảo tàng Thành phố Hồ Chí Minh khánh thành vào năm nào?', 'Bảo tàng Thành phố Hồ Chí Minh được xây dựng vào thời gian nào?', 'Năm nào bảo tàng Thành phố Hồ Chí Minh được xây dựng?']",1
